window_id,video_id,context,pred_track_id,trajectory_uid,window_start_sec,window_end_sec,coverage_ratio,observed_ratio,label_status,behavior_label,label_certainty,annotation_note
V3_FEEDING:T154:S0:W000090000,V3_FEEDING,FEEDING,154,V3_FEEDING:T154:S0,90.0,95.0,1.0,1.0,LABELED,FEEDING,CERTAIN,
V3_FEEDING:T158:S0:W000095000,V3_FEEDING,FEEDING,158,V3_FEEDING:T158:S0,95.0,100.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V3_FEEDING:T160:S1:W000095000,V3_FEEDING,FEEDING,160,V3_FEEDING:T160:S1,95.0,100.0,1.0,1.0,LABELED,PAIR_INTERACTION,CERTAIN,
V3_FEEDING:T160:S1:W000100000,V3_FEEDING,FEEDING,160,V3_FEEDING:T160:S1,100.0,105.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V3_FEEDING:T162:S0:W000100000,V3_FEEDING,FEEDING,162,V3_FEEDING:T162:S0,100.0,105.0,1.0,1.0,LABELED,SHELTER_TRANSITION,CERTAIN,
V3_FEEDING:T164:S1:W000100000,V3_FEEDING,FEEDING,164,V3_FEEDING:T164:S1,100.0,105.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V3_FEEDING:T160:S1:W000105000,V3_FEEDING,FEEDING,160,V3_FEEDING:T160:S1,105.0,110.0,1.0,1.0,LABELED,FEEDING,CERTAIN,
V3_FEEDING:T164:S1:W000105000,V3_FEEDING,FEEDING,164,V3_FEEDING:T164:S1,105.0,110.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V3_FEEDING:T160:S1:W000110000,V3_FEEDING,FEEDING,160,V3_FEEDING:T160:S1,110.0,115.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V3_FEEDING:T164:S1:W000110000,V3_FEEDING,FEEDING,164,V3_FEEDING:T164:S1,110.0,115.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V5_NORMAL:T1:S0:W000000000,V5_NORMAL,NORMAL,1,V5_NORMAL:T1:S0,0.0,5.0,1.0,0.986013986013986,LABELED,PAIR_INTERACTION,CERTAIN,
V5_NORMAL:T3:S0:W000000000,V5_NORMAL,NORMAL,3,V5_NORMAL:T3:S0,0.0,5.0,1.0,0.9790209790209792,LABELED,PAIR_INTERACTION,CERTAIN,
V5_NORMAL:T5:S0:W000000000,V5_NORMAL,NORMAL,5,V5_NORMAL:T5:S0,0.0,5.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V5_NORMAL:T1:S0:W000005000,V5_NORMAL,NORMAL,1,V5_NORMAL:T1:S0,5.0,10.0,1.0,1.0,LABELED,PAIR_INTERACTION,CERTAIN,
V5_NORMAL:T2:S0:W000010000,V5_NORMAL,NORMAL,2,V5_NORMAL:T2:S0,10.0,15.0,1.0,1.0,LABELED,PAIR_INTERACTION,CERTAIN,
V5_NORMAL:T7:S0:W000010000,V5_NORMAL,NORMAL,7,V5_NORMAL:T7:S0,10.0,15.0,1.0,1.0,LABELED,SHELTER_TRANSITION,CERTAIN,
V5_NORMAL:T1:S0:W000015000,V5_NORMAL,NORMAL,1,V5_NORMAL:T1:S0,15.0,20.0,1.0,1.0,LABELED,PAIR_INTERACTION,CERTAIN,
V5_NORMAL:T2:S0:W000015000,V5_NORMAL,NORMAL,2,V5_NORMAL:T2:S0,15.0,20.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V5_NORMAL:T5:S1:W000015000,V5_NORMAL,NORMAL,5,V5_NORMAL:T5:S1,15.0,20.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V5_NORMAL:T1:S0:W000020000,V5_NORMAL,NORMAL,1,V5_NORMAL:T1:S0,20.0,25.0,1.0,0.993006993006993,LABELED,NORMAL_SWIM,CERTAIN,
V5_NORMAL:T2:S0:W000020000,V5_NORMAL,NORMAL,2,V5_NORMAL:T2:S0,20.0,25.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V5_NORMAL:T1:S0:W000025000,V5_NORMAL,NORMAL,1,V5_NORMAL:T1:S0,25.0,30.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V5_NORMAL:T2:S0:W000025000,V5_NORMAL,NORMAL,2,V5_NORMAL:T2:S0,25.0,30.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V5_NORMAL:T22:S0:W000030000,V5_NORMAL,NORMAL,22,V5_NORMAL:T22:S0,30.0,35.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V5_NORMAL:T24:S1:W000035000,V5_NORMAL,NORMAL,24,V5_NORMAL:T24:S1,35.0,40.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V5_NORMAL:T1:S0:W000040000,V5_NORMAL,NORMAL,1,V5_NORMAL:T1:S0,40.0,45.0,1.0,1.0,LABELED,FEEDING,CERTAIN,
V5_NORMAL:T22:S0:W000045000,V5_NORMAL,NORMAL,22,V5_NORMAL:T22:S0,45.0,50.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V5_NORMAL:T24:S1:W000045000,V5_NORMAL,NORMAL,24,V5_NORMAL:T24:S1,45.0,50.0,1.0,1.0,LABELED,PAIR_INTERACTION,CERTAIN,
V5_NORMAL:T24:S1:W000050000,V5_NORMAL,NORMAL,24,V5_NORMAL:T24:S1,50.0,55.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V5_NORMAL:T43:S0:W000050000,V5_NORMAL,NORMAL,43,V5_NORMAL:T43:S0,50.0,55.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V5_NORMAL:T24:S1:W000055000,V5_NORMAL,NORMAL,24,V5_NORMAL:T24:S1,55.0,60.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V5_NORMAL:T48:S0:W000055000,V5_NORMAL,NORMAL,48,V5_NORMAL:T48:S0,55.0,60.0,1.0,1.0,LABELED,PAIR_INTERACTION,CERTAIN,
V5_NORMAL:T24:S1:W000060000,V5_NORMAL,NORMAL,24,V5_NORMAL:T24:S1,60.0,65.0,1.0,1.0,LABELED,SHELTER_TRANSITION,CERTAIN,
V5_NORMAL:T63:S0:W000070000,V5_NORMAL,NORMAL,63,V5_NORMAL:T63:S0,70.0,75.0,1.0,1.0,LABELED,PAIR_INTERACTION,CERTAIN,
V5_NORMAL:T65:S0:W000075000,V5_NORMAL,NORMAL,65,V5_NORMAL:T65:S0,75.0,80.0,1.0,1.0,LABELED,SHELTER_TRANSITION,CERTAIN,
V5_NORMAL:T69:S2:W000080000,V5_NORMAL,NORMAL,69,V5_NORMAL:T69:S2,80.0,85.0,1.0,0.9788732394366196,LABELED,NORMAL_SWIM,CERTAIN,
V5_NORMAL:T65:S0:W000085000,V5_NORMAL,NORMAL,65,V5_NORMAL:T65:S0,85.0,90.0,1.0,1.0,LABELED,PAIR_INTERACTION,CERTAIN,
V5_NORMAL:T69:S2:W000085000,V5_NORMAL,NORMAL,69,V5_NORMAL:T69:S2,85.0,90.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V5_NORMAL:T77:S0:W000085000,V5_NORMAL,NORMAL,77,V5_NORMAL:T77:S0,85.0,90.0,1.0,1.0,LABELED,PAIR_INTERACTION,CERTAIN,
V5_NORMAL:T65:S0:W000090000,V5_NORMAL,NORMAL,65,V5_NORMAL:T65:S0,90.0,95.0,1.0,1.0,LABELED,PAIR_INTERACTION,CERTAIN,
V5_NORMAL:T69:S2:W000090000,V5_NORMAL,NORMAL,69,V5_NORMAL:T69:S2,90.0,95.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V5_NORMAL:T65:S0:W000095000,V5_NORMAL,NORMAL,65,V5_NORMAL:T65:S0,95.0,100.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V5_NORMAL:T69:S2:W000095000,V5_NORMAL,NORMAL,69,V5_NORMAL:T69:S2,95.0,100.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V5_NORMAL:T89:S0:W000095000,V5_NORMAL,NORMAL,89,V5_NORMAL:T89:S0,95.0,100.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V5_NORMAL:T92:S0:W000095000,V5_NORMAL,NORMAL,92,V5_NORMAL:T92:S0,95.0,100.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V5_NORMAL:T69:S2:W000100000,V5_NORMAL,NORMAL,69,V5_NORMAL:T69:S2,100.0,105.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V5_NORMAL:T89:S0:W000100000,V5_NORMAL,NORMAL,89,V5_NORMAL:T89:S0,100.0,105.0,1.0,1.0,LABELED,PAIR_INTERACTION,CERTAIN,
V5_NORMAL:T92:S0:W000100000,V5_NORMAL,NORMAL,92,V5_NORMAL:T92:S0,100.0,105.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V5_NORMAL:T69:S2:W000105000,V5_NORMAL,NORMAL,69,V5_NORMAL:T69:S2,105.0,110.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V5_NORMAL:T89:S0:W000105000,V5_NORMAL,NORMAL,89,V5_NORMAL:T89:S0,105.0,110.0,1.0,1.0,LABELED,SHELTER_TRANSITION,CERTAIN,
V8_PAIR_T1:T1:S0:W000000000,V8_PAIR_T1,PAIR_T1,1,V8_PAIR_T1:T1:S0,0.0,5.0,1.0,1.0,LABELED,PAIR_INTERACTION,CERTAIN,
V8_PAIR_T1:T8:S0:W000020000,V8_PAIR_T1,PAIR_T1,8,V8_PAIR_T1:T8:S0,20.0,25.0,1.0,1.0,LABELED,NORMAL_SWIM,CERTAIN,
V8_PAIR_T1:T16:S0:W000040000,V8_PAIR_T1,PAIR_T1,16,V8_PAIR_T1:T16:S0,40.0,45.0,1.0,1.0,LABELED,PAIR_INTERACTION,CERTAIN,
V8_PAIR_T1:T16:S0:W000045000,V8_PAIR_T1,PAIR_T1,16,V8_PAIR_T1:T16:S0,45.0,50.0,1.0,1.0,LABELED,PAIR_INTERACTION,CERTAIN,
V8_PAIR_T1:T16:S0:W000050000,V8_PAIR_T1,PAIR_T1,16,V8_PAIR_T1:T16:S0,50.0,55.0,1.0,1.0,LABELED,PAIR_INTERACTION,CERTAIN,
